,Job_Title,Information,Company_Type,Job_Contract,Experience,Education,Required_Skills,Skills,Company,Location,City,Province,Job_Posting,Salary
71,Marketing Analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),Tiktok Ads,7,DWIMANUNGGAL INDONESIA,Kapanewon Sewon,Kab. Bantul,DI Yogyakarta,1 bulan yang lalu,"Rp 2,5 jt-3,5 jt"
72,Marketing Analyst,,,Penuh Waktu,Kurang dari setahun,Minimal SMA/SMK,Hard Worker,3,PT Kresna Reksa Finance Surabaya,Balikpapan Kota,Balikpapan,Kalimantan Timur,1 bulan yang lalu,Rp 3 jt-4 jt
73,Marketing Analyst (TUKU),,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Market Research,3,PT Makna Angan Karya Andanu (PT MAKA),Cilandak,Jakarta Selatan,DKI Jakarta,16 hari yang lalu,"Rp 6,5 jt-7,5 jt"
74,Marketplace Marketing Analyst,,,Penuh Waktu,Minimal SMA/SMK,Social Media Analytics,Content Writing,7,PT Meianshun Trading Indonesia,Penjaringan,Jakarta Utara,DKI Jakarta,17 hari yang lalu,Rp 8 jt-21 jt
75,IT Business Analyst,,,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),Opentext Uft One,4,Accelist Lentera Indonesia,Tanjung Priok,Jakarta Utara,DKI Jakarta,17 hari yang lalu,Rp 9 jt-13 jt
76,Quality Control Analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Quality Control,3,PT Van Aroma,Gunung Putri,Kab. Bogor,Jawa Barat,17 hari yang lalu,"Rp 4,7 jt-5,5 jt"
77,Corporate Credit Analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Communication Skills,3,PT Clemont Finance Indonesia,Pancoran,Jakarta Selatan,DKI Jakarta,22 hari yang lalu,"Rp 4,5 jt-6 jt"
78,UNPAID Data Engineer,,,Hybrid,Magang,Kurang dari setahun,Minimal Diploma (D1 - D4),3,Social Economy Accelerator Lab Malang,Gayungan,Surabaya,Jawa Timur,1 bulan yang lalu,Rp 1 jt-2 jt
79,Corporate Planning Analyst,,,Penuh Waktu,5 – 10 tahun,Minimal Sarjana (S1),Accounting,3,Lima Pilar Resources,Setiabudi,Jakarta Selatan,DKI Jakarta,24 hari yang lalu,Rp 10 jt-15 jt
80,Analis Kimia,,,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),Teamwork,5,PT. Sanova,Cikarang Timur,Kab. Bekasi,Jawa Barat,21 hari yang lalu,"Rp 5,8 jt-6 jt"
81,Investment Analyst Intern,,,Magang,Kurang dari setahun,Minimal Sarjana (S1),Financial Statements,3,PT Qverse Teknologi Indonesia,Pasar Minggu,Jakarta Selatan,DKI Jakarta,27 hari yang lalu,Rp 2 jt
82,IT BUSINESS ANALYST,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Teamwork,4,PT Prawathiya Karsa Pradiptha,Jatisampurna,Bekasi,Jawa Barat,1 bulan yang lalu,Rp 1 jt-5 jt
83,Business Analyst (ITBA),,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Business Analysis,5,Yodu E Money,Kebayoran Baru,Jakarta Selatan,DKI Jakarta,1 bulan yang lalu,Rp 6 jt-12 jt
84,R&D System Analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),System Analysis,6,PT Usaha Kreatif Indonesia,Penjaringan,Jakarta Utara,DKI Jakarta,Kemarin,Rp 8 jt-12 jt
85,Analis Bisnis,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Analytical Skills,7,Pt. Mitra Utama Solusi Telematika,Mampang Prapatan,Jakarta Selatan,DKI Jakarta,20 hari yang lalu,"Rp 6 jt-9,5 jt"
86,Staff Data Entry Media,,,Kontrak,1 – 3 tahun,Minimal SMA/SMK,Data Entry,3,PT Kurasi Media Nusantara,Sukajadi,Bandung,Jawa Barat,20 hari yang lalu,"Rp 2,9 jt-3,3 jt"
87,Admin Data Entry,,,Penuh Waktu,Kurang dari setahun,Minimal Diploma (D1 - D4),Teamwork,4,Squeeze Bali,Denpasar Selatan,Denpasar,Bali,Kemarin,"Rp 3 jt-3,5 jt"
88,Analis Laboratorium,,,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),Teamwork,3,Laboratorium Amerind Bio-clinic,Kebon Jeruk,Jakarta Barat,DKI Jakarta,Kemarin,"Rp 4 jt-5,5 jt"
89,Analis Business Intelligence,,,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),Power BI,5,PT TOKO SEPATU ISTIMEWA,Kemantren Tegalrejo,Yogyakarta,DI Yogyakarta,17 hari yang lalu,"Rp 4 jt-4,9 jt"
90,IT System Analyst,,,Hybrid,Penuh Waktu,5 – 10 tahun,Minimal Sarjana (S1),5,PT Nusantara Cita Bersama,Serpong,Tangerang Selatan,Banten,9 hari yang lalu,Rp 9 jt-15 jt
91,IT Business Analyst (For Banking Industry),,Perusahaan Premium,Freelance,3 – 5 tahun,Minimal Sarjana (S1),Scrum,3,PT Sigma Global Teknologi,Tangerang,Tangerang,Banten,7 hari yang lalu,Rp 10 jt-12 jt
92,Analis Laboratorium,,,Penuh Waktu,1 – 3 tahun,Minimal SMA/SMK,Discipline,4,Klinik JB Medical Center,Cikarang Utara,Kab. Bekasi,Jawa Barat,13 hari yang lalu,"Rp 2 jt-3,5 jt"
93,Analis Data HRIS (Human Resources Information System),,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Driving,3,PT. Wonokoyo Jaya Corporindo (Wonokoyo Group),Wonokromo,Surabaya,Jawa Timur,23 hari yang lalu,"Rp 4,5 jt-6 jt"
94,Staff Data Entry Media,,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal SMA/SMK,Data Entry,3,PT Kurasi Media Nusantara,Sukajadi,Bandung,Jawa Barat,20 hari yang lalu,"Rp 2,9 jt-3,3 jt"
95,System Analys,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),SQL,4,Machine Vision Indonesia,Lowokwaru,Malang,Jawa Timur,8 hari yang lalu,Rp 5 jt-6 jt
96,Admin Data Entry,,Perusahaan Premium,Penuh Waktu,Kurang dari setahun,Minimal Diploma (D1 - D4),Teamwork,4,Squeeze Bali,Denpasar Selatan,Denpasar,Bali,Kemarin,"Rp 3 jt-3,5 jt"
97,Data Compliance Support,,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Diploma (D1 - D4),Legal Compliance,6,PT. Cura Indonesia,Medan Kota,Medan,Sumatera Utara,2 hari yang lalu,Rp 3 jt-5 jt
98,Analis Kimia,,Perusahaan Premium,Penuh Waktu,Kurang dari setahun,Minimal SMA/SMK,Laboratory Skills,5,PT Graha Farma,Kebakkramat,Kab. Karanganyar,Jawa Tengah,22 hari yang lalu,
